statement,label,category,split,question
Naypyidaw is a name of a city.,1,cities,train,What is Naypyidaw?
Jerusalem is a name of a country.,0,cities,train,What is Jerusalem?
Madrid is a city in Burundi,0,cities,train,What country is Madrid located in?
Road Town is a name of a country.,0,cities,train,What is Road Town?
Bamako is a name of a city.,1,cities,train,What is Bamako?
Beijing is a city in Palau,0,cities,train,What country is Beijing located in?
Sri Jayawardenepura Kotte is a name of a city.,1,cities,train,What is Sri Jayawardenepura Kotte?
Nicaragua is a name of a country.,1,cities,train,What is Nicaragua?
Mata-Utu is a city in Saint Barthélemy,0,cities,train,What is Mata-Utu?
Asunción is a city in Paraguay,1,cities,train,What is Asunción?
Dublin is a name of a city.,1,cities,train,What is Dublin?
St. Johns is a name of a country.,0,cities,train,What is St. Johns?
Gaborone is a name of a city.,1,cities,train,What is Gaborone?
Tashkent is a city in Cape Verde,0,cities,train,What is Tashkent?
Baku is a city in Azerbaijan,1,cities,train,What is Baku?
Accra is a name of a city.,1,cities,train,What is Accra?
San Salvador is a city in Maldives,0,cities,train,What country is San Salvador located in?
Alofi is a city in Niue,1,cities,train,What is Alofi?
Apia is a name of a country.,0,cities,train,What is Apia?
St. Johns is a name of a city.,1,cities,train,What is St. Johns?
Kinshasa is a name of a city.,1,cities,train,What is Kinshasa?
Windhoek is a name of a country.,0,cities,train,What is Windhoek?
Episkopi Cantonment is a city in Solomon Islands,0,cities,train,What is Episkopi Cantonment?
Malabo is a name of a city.,1,cities,train,What is Malabo?
Tunis is a name of a city.,1,cities,train,What is Tunis?
Lebanon is a name of a country.,1,cities,train,What is Lebanon?
Norway is a name of a country.,1,cities,train,What is Norway?
Jamestown is a city in Honduras,0,cities,train,What country is Jamestown located in?
Beirut is a name of a country.,0,cities,train,What is Beirut?
Valletta is a name of a country.,0,cities,train,What is Valletta?
Abkhazia is a name of a country.,1,cities,train,What is Abkhazia?
Valletta is a city in Malta,1,cities,train,What country is Valletta located in?
St. Peter Port is a city in Guernsey,1,cities,train,What is St. Peter Port?
Yemen is a name of a country.,1,cities,train,What is Yemen?
Isle of Man is a name of a country.,1,cities,train,What is Isle of Man?
Panama City is a name of a city.,1,cities,train,What is Panama City?
Ouagadougou is a name of a country.,0,cities,train,What is Ouagadougou?
Tunis is a city in Nepal,0,cities,train,What country is Tunis located in?
Stockholm is a name of a country.,0,cities,train,What is Stockholm?
Budapest is a name of a country.,0,cities,train,What is Budapest?
Democratic Republic of the Congo is a name of a city.,0,cities,train,What is the Democratic Republic of the Congo?
Canada is a name of a city.,0,cities,train,What is Canada?
Papeete is a city in Botswana,0,cities,train,What country is Papeete a city in?
Moldova is a name of a country.,1,cities,train,What is Moldova?
Italy is a name of a country.,1,cities,train,What is Italy?
Windhoek is a city in Namibia,1,cities,train,What country is Windhoek located in?
Sukhumi is a name of a city.,1,cities,train,What is Sukhumi?
Pago Pago is a city in Gambia,0,cities,train,What country is Pago Pago located in?
Paris is a name of a city.,1,cities,train,What is Paris?
Sri Jayawardenepura Kotte is a name of a country.,0,cities,train,What is Sri Jayawardenepura Kotte?
Philipsburg is a name of a country.,0,cities,train,What is Philipsburg?
Botswana is a name of a city.,0,cities,train,What is Botswana?
Rabat is a name of a country.,0,cities,train,What is Rabat?
Port-au-Prince is a name of a city.,1,cities,train,What is Port-au-Prince?
Kabul is a city in Afghanistan,1,cities,train,What country is Kabul located in?
NDjamena is a name of a city.,1,cities,train,What is NDjamena?
Philipsburg is a city in Sint Maarten,1,cities,train,What is Philipsburg?
Madrid is a name of a country.,0,cities,train,What is Madrid?
Monaco is a city in Monaco,1,cities,train,What country is Monaco located in?
Sri Jayawardenepura Kotte is a city in Yemen,0,cities,train,What country is Sri Jayawardenepura Kotte located in?
Addis Ababa is a city in Nauru,0,cities,train,What country is Addis Ababa located in?
Kathmandu is a city in Thailand,0,cities,train,What country is Kathmandu a city in?
Port Moresby is a city in Barbados,0,cities,train,What country is Port Moresby located in?
Charlotte Amalie is a name of a city.,1,cities,train,What is Charlotte Amalie?
Trinidad and Tobago is a name of a city.,0,cities,train,What is Trinidad and Tobago?
Dominican Republic is a name of a country.,1,cities,train,What is the Dominican Republic?
Adamstown is a city in Northern Mariana Islands,0,cities,train,What is Adamstown?
Somaliland is a name of a city.,0,cities,train,What is Somaliland?
Slovenia is a name of a city.,0,cities,train,What is Slovenia?
Germany is a name of a city.,0,cities,train,What is Germany?
United Arab Emirates is a name of a country.,1,cities,train,What is the United Arab Emirates?
San Salvador is a city in Slovenia,0,cities,train,What country is San Salvador a city in?
Finland is a name of a city.,0,cities,train,What is Finland?
Bridgetown is a name of a city.,1,cities,train,What is Bridgetown?
Greece is a name of a country.,1,cities,train,What is Greece?
Hanoi is a city in Vietnam,1,cities,train,What country is Hanoi a city in?
Pyongyang is a city in North Korea,1,cities,train,What country is Pyongyang located in?
Bolivia is a name of a city.,0,cities,train,What is Bolivia?
Majuro is a name of a city.,1,cities,train,What is Majuro?
Nicosia is a name of a country.,0,cities,train,What is Nicosia?
Cockburn Town is a name of a city.,1,cities,train,What is Cockburn Town?
Comoros is a name of a country.,1,cities,train,What is Comoros?
Cairo is a name of a city.,1,cities,train,What is Cairo?
Saint Kitts and Nevis is a name of a country.,1,cities,train,What is Saint Kitts and Nevis?
Dushanbe is a name of a city.,1,cities,train,What is Dushanbe?
Yaoundé is a name of a city.,1,cities,train,What is Yaoundé?
Belgrade is a city in Serbia,1,cities,train,What country is Belgrade located in?
St. Helier is a name of a city.,1,cities,train,What is St. Helier?
Asmara is a city in Chile,0,cities,train,What country is Asmara located in?
Kuwait City is a city in Kuwait,1,cities,train,What is Kuwait City?
Papeete is a city in French Polynesia,1,cities,train,What is Papeete?
Managua is a city in Portugal,0,cities,train,What country is Managua a city in?
Colombia is a name of a city.,0,cities,train,What is Colombia?
Malawi is a name of a city.,0,cities,train,What is Malawi?
El Salvador is a name of a country.,1,cities,train,What is El Salvador?
Dhaka is a name of a country.,0,cities,train,What is Dhaka?
The Valley is a name of a country.,0,cities,train,What is the Valley?
Dominican Republic is a name of a city.,0,cities,train,What is the Dominican Republic?
Ankara is a name of a country.,0,cities,train,What is Ankara?
Vaduz is a city in Colombia,0,cities,train,What is Vaduz?
Accra is a city in Ghana,1,cities,train,What is Accra?
Malaysia is a name of a country.,1,cities,train,What is Malaysia?
Singapore is a name of a city.,0,cities,train,What is Singapore?
Chisinau is a city in Moldova,1,cities,train,What is Chisinau?
Port Moresby is a name of a country.,0,cities,train,What is Port Moresby?
Victoria is a city in Seychelles,1,cities,train,What country is Victoria a city in?
Mexico City is a name of a city.,1,cities,train,What is Mexico City?
Tallinn is a city in Estonia,1,cities,train,What country is Tallinn located in?
Federated States of Micronesia is a name of a city.,0,cities,train,What is the Federated States of Micronesia?
Muscat is a name of a city.,1,cities,train,What is Muscat?
Moldova is a name of a city.,0,cities,train,What is Moldova?
Cuba is a name of a country.,1,cities,train,What is Cuba?
Wellington is a name of a country.,0,cities,train,What is Wellington?
Yaoundé is a name of a country.,0,cities,train,What is Yaoundé?
Madrid is a city in Spain,1,cities,train,What country is Madrid located in?
Andorra la Vella is a city in Andorra,1,cities,train,What is Andorra la Vella?
Tehran is a name of a city.,1,cities,train,What is Tehran?
Accra is a city in Sudan,0,cities,train,What country is Accra a city in?
Malta is a name of a country.,1,cities,train,What is Malta?
Santo Domingo is a name of a country.,0,cities,train,What is Santo Domingo?
Egypt is a name of a city.,0,cities,train,What is Egypt?
Kingston is a name of a country.,0,cities,train,What is Kingston?
Ashgabat is a name of a country.,0,cities,train,What is Ashgabat?
United States is a name of a country.,1,cities,train,What is the United States?
Nagorno-Karabakh Republic is a name of a country.,1,cities,train,What is Nagorno-Karabakh Republic?
Manila is a city in Philippines,1,cities,train,What country is Manila located in?
Budapest is a city in Saint Pierre and Miquelon,0,cities,train,What is Budapest?
Liechtenstein is a name of a country.,1,cities,train,What is Liechtenstein?
Bangkok is a city in Thailand,1,cities,train,What country is Bangkok located in?
Uzbekistan is a name of a country.,1,cities,train,What is Uzbekistan?
Oranjestad is a name of a city.,1,cities,train,What is Oranjestad?
Saint Pierre and Miquelon is a name of a country.,1,cities,train,What is Saint Pierre and Miquelon?
Jakarta is a city in Jamaica,0,cities,train,What country is Jakarta located in?
Hargeisa is a name of a country.,0,cities,train,What is Hargeisa?
Episkopi Cantonment is a city in Panama,0,cities,train,What is Episkopi Cantonment?
Serbia is a name of a country.,1,cities,train,What is Serbia?
Saint Pierre and Miquelon is a name of a city.,0,cities,train,What is Saint Pierre and Miquelon?
Saint Vincent and the Grenadines is a name of a country.,1,cities,train,What is Saint Vincent and the Grenadines?
Japan is a name of a country.,1,cities,train,What is Japan?
Apia is a city in Samoa,1,cities,train,What country is Apia located in?
Kingston is a city in Jamaica,1,cities,train,What is Kingston?
Islamabad is a city in Pakistan,1,cities,train,What country is Islamabad located in?
Tajikistan is a name of a city.,0,cities,train,What is Tajikistan?
Bulgaria is a name of a country.,1,cities,train,What is Bulgaria?
South Ossetia is a name of a country.,1,cities,train,What is South Ossetia?
Liberia is a name of a city.,0,cities,train,What is Liberia?
Turkey is a name of a country.,1,cities,train,What is Turkey?
Saint Martin is a name of a city.,0,cities,train,What is Saint Martin?
Norfolk Island is a name of a city.,0,cities,train,What is Norfolk Island?
Charlotte Amalie is a city in United States Virgin Islands,1,cities,train,What location is Charlotte Amalie?
Turks and Caicos Islands is a name of a country.,1,cities,train,What is Turks and Caicos Islands?
Plymouth is a name of a city.,1,cities,train,What is Plymouth?
Ivory Coast is a name of a country.,1,cities,train,What is Ivory Coast?
Brazil is a name of a country.,1,cities,train,What is Brazil?
Finland is a name of a country.,1,cities,train,What is Finland?
Nicosia is a name of a city.,1,cities,train,What is Nicosia?
Saint Barthélemy is a name of a country.,1,cities,train,What is Saint Barthélemy?
Juba is a name of a country.,0,cities,train,What is Juba?
Suriname is a name of a city.,0,cities,train,What is Suriname?
Dakar is a name of a city.,1,cities,train,What is Dakar?
Pago Pago is a city in American Samoa,1,cities,train,What is Pago Pago?
Gibraltar is a city in Gibraltar,1,cities,train,What is Gibraltar?
Melekeok is a city in Saint Helena,0,cities,train,What is Melekeok?
Doha is a name of a city.,1,cities,train,What is Doha?
Turkmenistan is a name of a country.,1,cities,train,What is Turkmenistan?
Guatemala City is a name of a country.,0,cities,train,What is Guatemala City?
St. Peter Port is a name of a country.,0,cities,train,What is St. Peter Port?
West Island is a name of a city.,1,cities,train,What is West Island?
Christmas Island is a name of a city.,0,cities,train,What is Christmas Island?
Lithuania is a name of a country.,1,cities,train,What is Lithuania?
Pyongyang is a name of a country.,0,cities,train,What is Pyongyang?
Ghana is a name of a city.,0,cities,train,What is Ghana?
Baku is a city in Paraguay,0,cities,train,What country is Baku located in?
The Valley is a city in Anguilla,1,cities,train,What geographical location is The Valley?
Ankara is a city in Turkey,1,cities,train,What country is Ankara located in?
Guinea is a name of a country.,1,cities,train,What is Guinea?
Porto-Novo is a city in Norfolk Island,0,cities,train,What is Porto-Novo?
Caracas is a city in Venezuela,1,cities,train,What country is Caracas a city in?
Togo is a name of a country.,1,cities,train,What is Togo?
Cocos Islands is a name of a country.,1,cities,train,What is Cocos Islands?
Kathmandu is a city in Tristan da Cunha,0,cities,train,What country is Kathmandu located in?
Riyadh is a name of a city.,1,cities,train,What is Riyadh?
Kampala is a name of a country.,0,cities,train,What is Kampala?
Beirut is a city in Philippines,0,cities,train,What country is Beirut located in?
Equatorial Guinea is a name of a country.,1,cities,train,What is Equatorial Guinea?
Netherlands is a name of a country.,1,cities,train,What is the Netherlands?
Slovakia is a name of a city.,0,cities,train,What is Slovakia?
Victoria is a name of a country.,0,cities,train,What is Victoria?
Iceland is a name of a city.,0,cities,train,What is Iceland?
Lima is a city in Peru,1,cities,train,What country is Lima located in?
Akrotiri and Dhekelia is a name of a country.,1,cities,train,What is Akrotiri and Dhekelia?
Marigot is a city in Jordan,0,cities,train,What is Marigot?
Vientiane is a city in Laos,1,cities,train,What is Vientiane?
Pago Pago is a name of a country.,0,cities,train,What is Pago Pago?
Naypyidaw is a name of a country.,0,cities,train,What is Naypyidaw?
Costa Rica is a name of a country.,1,cities,train,What is Costa Rica?
Vatican City is a city in  Vatican City,1,cities,train,What is Vatican City?
Willemstad is a name of a country.,0,cities,train,What is Willemstad?
Managua is a city in Nicaragua,1,cities,train,What country is Managua located in?
Iraq is a name of a city.,0,cities,train,What is Iraq?
Brussels is a name of a city.,1,cities,train,What is Brussels?
Rabat is a city in Macedonia,0,cities,train,What country is Rabat a city in?
Seoul is a city in Samoa,0,cities,train,What country is Seoul located in?
Morocco is a name of a country.,1,cities,train,What is Morocco?
Mbabane is a name of a city.,1,cities,train,What is Mbabane?
Dili is a city in Venezuela,0,cities,train,What country is Dili a city in?
Damascus is a city in Syria,1,cities,train,What country is Damascus located in?
Spain is a name of a country.,1,cities,train,What is Spain?
Amman is a city in Jordan,1,cities,train,What country is Amman located in?
Taipei is a name of a country.,0,cities,train,What is Taipei?
Tórshavn is a city in Faroe Islands,1,cities,train,What is Tórshavn?
El Salvador is a name of a city.,0,cities,train,What is El Salvador?
French Guiana is a name of a city.,0,cities,train,What is French Guiana?
Papua New Guinea is a name of a city.,0,cities,train,What is Papua New Guinea?
Tokyo is a name of a city.,1,cities,train,What is Tokyo?
Port-au-Prince is a city in Haiti,1,cities,train,What is Port-au-Prince?
Nauru is a name of a city.,0,cities,train,What is Nauru?
Port Moresby is a city in Papua New Guinea,1,cities,train,What country is Port Moresby a city in?
Belgrade is a city in Burma,0,cities,train,What country is Belgrade located in?
Flying Fish Cove is a name of a country.,0,cities,train,What is Flying Fish Cove?
Oman is a name of a country.,1,cities,train,What is Oman?
Armenia is a name of a country.,1,cities,train,What is Armenia?
Kampala is a city in Gabon,0,cities,train,What country is Kampala located in?
Mexico City is a name of a country.,0,cities,train,What is Mexico City?
Mbabane is a city in Swaziland,1,cities,train,What country is Mbabane located in?
Kingstown is a name of a city.,1,cities,train,What is Kingstown?
Monaco is a name of a country.,1,cities,train,What is Monaco?
Mogadishu is a city in Somalia,1,cities,train,What is Mogadishu?
Moroni is a city in Comoros,1,cities,train,What is Moroni?
George Town is a name of a city.,1,cities,train,What is George Town?
Berlin is a name of a city.,1,cities,train,What is Berlin?
Sahrawi Arab Democratic Republic  is a name of a country.,1,cities,train,What is the Sahrawi Arab Democratic Republic?
Hanga Roa is a city in Easter Island,1,cities,train,What is Hanga Roa?
Amsterdam is a name of a country.,0,cities,train,What is Amsterdam?
Anguilla is a name of a country.,1,cities,train,What is Anguilla?
Gibraltar is a name of a country.,0,cities,train,What is Gibraltar?
Ulan Bator is a city in Cocos Islands,0,cities,train,What country is Ulan Bator located in?
Apia is a name of a city.,1,cities,train,What is Apia?
Peru is a name of a country.,1,cities,train,What is Peru?
Vaduz is a city in Liechtenstein,1,cities,train,What country is Vaduz located in?
Belize is a name of a city.,0,cities,train,What is Belize?
Bucharest is a city in Cook Islands,0,cities,train,What is Bucharest?
Paramaribo is a city in Tuvalu,0,cities,train,What country is Paramaribo located in?
Jersey is a name of a city.,0,cities,train,What is Jersey?
Azerbaijan is a name of a city.,0,cities,train,What is Azerbaijan?
Bahrain is a name of a country.,1,cities,train,What is Bahrain?
Indonesia is a name of a city.,0,cities,train,What is Indonesia?
Panama is a name of a country.,1,cities,train,What is Panama?
San Salvador is a city in El Salvador,1,cities,train,What is San Salvador?
Episkopi Cantonment is a city in Akrotiri and Dhekelia,1,cities,train,What is Episkopi Cantonment?
Italy is a name of a city.,0,cities,train,What is Italy?
St. Helier is a name of a country.,0,cities,train,What is St. Helier?
Majuro is a city in Marshall Islands,1,cities,train,What geographical location is Majuro?
Doha is a city in Comoros,0,cities,train,What country is Doha located in?
Seoul is a name of a country.,0,cities,train,What is Seoul?
Jamestown is a city in Saint Helena,1,cities,train,What is Jamestown?
Moscow is a city in Russia,1,cities,train,What country is Moscow located in?
Montevideo is a city in Uruguay,1,cities,train,What country is Montevideo located in?
Baghdad is a name of a city.,1,cities,train,What is Baghdad?
Helsinki is a city in Finland,1,cities,train,What country is Helsinki located in?
Kabul is a name of a country.,0,cities,train,What is Kabul?
Lomé is a name of a city.,1,cities,train,What is Lomé?
Guatemala is a name of a country.,1,cities,train,What is Guatemala?
Bangui is a city in Central African Republic,1,cities,train,What country is Bangui located in?
Sanaa is a name of a city.,1,cities,train,What is Sanaa?
Morocco is a name of a city.,0,cities,train,What is Morocco?
Mongolia is a name of a country.,1,cities,train,What is Mongolia?
Grytviken is a name of a country.,0,cities,train,What is Grytviken?
Republic of the Congo is a name of a city.,0,cities,train,What is the Republic of the Congo?
Thailand is a name of a city.,0,cities,train,What is Thailand?
Malé is a city in Chad,0,cities,train,What country is Malé located in?
Kigali is a city in Serbia,0,cities,train,What country is Kigali a city in?
Latvia is a name of a city.,0,cities,train,What is Latvia?
San Juan is a city in Puerto Rico,1,cities,train,What is San Juan?
Hargeisa is a city in Somaliland,1,cities,train,What is Hargeisa?
Pretoria is a city in South Africa,1,cities,train,What is Pretoria?
Sahrawi Arab Democratic Republic  is a name of a city.,0,cities,train,What is the Sahrawi Arab Democratic Republic?
Gustavia is a name of a country.,0,cities,train,What is Gustavia?
Benin is a name of a country.,1,cities,train,What is Benin?
Pristina is a name of a country.,0,cities,train,What is Pristina?
Northern Cyprus is a name of a country.,1,cities,train,What is Northern Cyprus?
Chile is a name of a country.,1,cities,train,What is Chile?
Pago Pago is a name of a city.,1,cities,train,What is Pago Pago?
Nigeria is a name of a country.,1,cities,train,What is Nigeria?
Kuala Lumpur is a city in Dominica,0,cities,train,What country is Kuala Lumpur located in?
Ecuador is a name of a country.,1,cities,train,What is Ecuador?
Bandar Seri Begawan is a name of a city.,1,cities,train,What is Bandar Seri Begawan?
Malé is a name of a country.,0,cities,train,What is Malé?
Monaco is a city in Romania,0,cities,train,What country is Monaco located in?
Wallis and Futuna is a name of a city.,0,cities,train,What is Wallis and Futuna?
Belgium is a name of a city.,0,cities,train,What is Belgium?
Hagåtña is a name of a country.,0,cities,train,What is Hagåtña?
Pitcairn Islands is a name of a city.,0,cities,train,What is the Pitcairn Islands?
Christmas Island is a name of a country.,1,cities,train,What is Christmas Island?
Republic of the Congo is a name of a country.,1,cities,train,What is the Republic of the Congo?
Jamestown is a name of a city.,1,cities,train,What is Jamestown?
Minsk is a city in Belarus,1,cities,train,What country is Minsk located in?
Vaduz is a city in Nagorno-Karabakh Republic,0,cities,train,What is Vaduz?
Pristina is a name of a city.,1,cities,train,What is Pristina?
Santiago is a city in Chile,1,cities,train,What country is Santiago located in?
Georgia is a name of a country.,1,cities,train,What is Georgia?
Andorra is a name of a city.,0,cities,train,What is Andorra?
Kuala Lumpur is a city in Croatia,0,cities,train,What country is Kuala Lumpur located in?
St. Helier is a city in Montserrat,0,cities,train,What is St. Helier?
Sri Lanka is a name of a country.,1,cities,train,What is Sri Lanka?
Tiraspol is a city in Brunei,0,cities,train,What is Tiraspol?
Dakar is a city in Senegal,1,cities,train,What country is Dakar located in?
Nouakchott is a name of a country.,0,cities,train,What is Nouakchott?
Alofi is a name of a country.,0,cities,train,What is Alofi?
Asmara is a name of a city.,1,cities,train,What is Asmara?
Namibia is a name of a country.,1,cities,train,What is Namibia?
Basseterre is a city in Greece,0,cities,train,What country is Basseterre a city in?
United States is a name of a city.,0,cities,train,What is United States?
Stanley is a name of a city.,1,cities,train,What is Stanley?
Cyprus is a name of a country.,1,cities,train,What is Cyprus?
Malaysia is a name of a city.,0,cities,train,What is Malaysia?
Montevideo is a name of a city.,1,cities,train,What is Montevideo?
Ulan Bator is a name of a city.,1,cities,train,What is Ulan Bator?
Croatia is a name of a city.,0,cities,train,What is Croatia?
Riyadh is a name of a country.,0,cities,train,What is Riyadh?
Yerevan is a city in Sweden,0,cities,train,What country is Yerevan a city in?
Nouakchott is a city in Lebanon,0,cities,train,What country is Nouakchott a city in?
Stepanakert is a name of a city.,1,cities,train,What is Stepanakert?
Saint Vincent and the Grenadines is a name of a city.,0,cities,train,What is Saint Vincent and the Grenadines?
Bangkok is a city in Moldova,0,cities,train,What country is Bangkok located in?
India is a name of a city.,0,cities,train,What is India?
Tunisia is a name of a country.,1,cities,train,What is Tunisia?
Abuja is a name of a country.,0,cities,train,What is Abuja?
Thailand is a name of a country.,1,cities,train,What is Thailand?
Luanda is a name of a country.,0,cities,train,What is Luanda?
Djibouti is a name of a city.,1,cities,train,What is Djibouti?
Vatican City is a city in Germany,0,cities,train,What country is Vatican City located in?
Algeria is a name of a country.,1,cities,train,What is Algeria?
Adamstown is a city in Hungary,0,cities,train,What is Adamstown?
Reykjavík is a city in El Salvador,0,cities,train,What country is Reykjavík located in?
Sanaa is a name of a country.,0,cities,train,What is Sanaa?
United Kingdom is a name of a city.,0,cities,train,What is the United Kingdom?
Kingstown is a name of a country.,0,cities,train,What is Kingstown?
Romania is a name of a country.,1,cities,train,What is Romania?
St. Pierre is a name of a city.,1,cities,train,What is St. Pierre?
Quito is a city in Kazakhstan,0,cities,train,What is Quito?
Ukraine is a name of a city.,0,cities,train,What is Ukraine?
Palikir is a city in Federated States of Micronesia,1,cities,train,What country is Palikir located in?
Doha is a city in Iraq,0,cities,train,What country is Doha located in?
Kyrgyzstan is a name of a city.,0,cities,train,What is Kyrgyzstan?
Chisinau is a name of a country.,0,cities,train,What is Chisinau?
Gibraltar is a name of a city.,0,cities,train,What is Gibraltar?
Bermuda is a name of a country.,1,cities,train,What is Bermuda?
France is a name of a country.,1,cities,train,What is France?
Bogotá is a city in Bulgaria,0,cities,train,What country is Bogotá located in?
Nassau is a name of a country.,0,cities,train,What is Nassau?
Sukhumi is a name of a country.,0,cities,train,What is Sukhumi?
Vatican City is a city in Gibraltar,0,cities,train,What country is Vatican City located in?
Pitcairn Islands is a name of a country.,1,cities,train,What is the Pitcairn Islands?
Plymouth is a city in Montserrat,1,cities,train,What is Plymouth?
Skopje is a name of a city.,1,cities,train,What is Skopje?
Vietnam is a name of a city.,0,cities,train,What is Vietnam?
Rabat is a name of a city.,1,cities,train,What is Rabat?
Tripoli is a city in Senegal,0,cities,train,What is Tripoli?
Yamoussoukro is a name of a city.,1,cities,train,What is Yamoussoukro?
Gaborone is a city in Botswana,1,cities,train,What is Gaborone?
Mata-Utu is a city in Wallis and Futuna,1,cities,train,What is Mata-Utu?
Port-au-Prince is a name of a country.,0,cities,train,What is Port-au-Prince?
Copenhagen is a name of a country.,0,cities,train,What is Copenhagen?
Cape Verde is a name of a country.,1,cities,train,What is Cape Verde?
Marigot is a name of a city.,1,cities,train,What is Marigot?
Pretoria is a name of a city.,1,cities,train,What is Pretoria?
Lithuania is a name of a city.,0,cities,train,What is Lithuania?
Adamstown is a city in Pitcairn Islands,1,cities,train,What is Adamstown?
Tirana is a city in Faroe Islands,0,cities,train,What country is Tirana a city in?
Muscat is a city in Oman,1,cities,train,What is Muscat?
Plymouth is a name of a country.,0,cities,train,What is Plymouth?
Brazil is a name of a city.,0,cities,train,What is Brazil?
Hamilton is a city in Bermuda,1,cities,train,What is Hamilton?
Madagascar is a name of a city.,0,cities,train,What is Madagascar?
Moscow is a name of a country.,0,cities,train,What is Moscow?
Ireland is a name of a city.,0,cities,train,What is Ireland?
Georgetown is a name of a city.,1,cities,train,What is Georgetown?
West Island is a city in Cocos Islands,1,cities,train,What is West Island located in?
Tarawa is a name of a city.,1,cities,train,What is Tarawa?
Croatia is a name of a country.,1,cities,train,What is Croatia?
Managua is a name of a country.,0,cities,train,What is Managua?
South Africa is a name of a city.,0,cities,train,What is South Africa?
Argentina is a name of a city.,0,cities,train,What is Argentina?
Phnom Penh is a city in United States,0,cities,train,What is Phnom Penh?
Sri Jayawardenepura Kotte is a city in Sri Lanka,1,cities,train,What is Sri Jayawardenepura Kotte?
Wellington is a city in Central African Republic,0,cities,train,What country is Wellington a city in?
Mata-Utu is a name of a country.,0,cities,train,What is Mata-Utu?
Turkmenistan is a name of a city.,0,cities,train,What is Turkmenistan?
Port of Spain is a name of a city.,1,cities,train,What is Port of Spain?
Zimbabwe is a name of a city.,0,cities,train,What is Zimbabwe?
Bangui is a city in Uganda,0,cities,train,What country is Bangui a city in?
Nepal is a name of a city.,0,cities,train,What is Nepal?
Bahamas is a name of a country.,1,cities,train,What is Bahamas?
Aruba is a name of a city.,0,cities,train,What is Aruba?
Flying Fish Cove is a name of a city.,1,cities,train,What is Flying Fish Cove?
Angola is a name of a city.,0,cities,train,What is Angola?
Dili is a name of a city.,1,cities,train,What is Dili?
Majuro is a name of a country.,0,cities,train,What is Majuro?
Angola is a name of a country.,1,cities,train,What is Angola?
Tallinn is a name of a country.,0,cities,train,What is Tallinn?
Vienna is a name of a country.,0,cities,train,What is Vienna?
Taipei is a city in Taiwan,1,cities,train,What is Taipei?
Singapore is a name of a country.,1,cities,train,What is Singapore?
Funafuti is a name of a country.,0,cities,train,What is Funafuti?
Lomé is a city in Togo,1,cities,train,What is Lomé?
Tunis is a city in Ecuador,0,cities,train,What is Tunis?
Taipei is a name of a city.,1,cities,train,What is Taipei?
Cairo is a city in Egypt,1,cities,train,What country is Cairo located in?
Hanoi is a name of a country.,0,cities,train,What is Hanoi?
Curaçao is a name of a country.,1,cities,train,What is Curaçao?
Dodoma is a name of a country.,0,cities,train,What is Dodoma?
Sucre is a city in Bolivia,1,cities,train,What is Sucre?
Sierra Leone is a name of a country.,1,cities,train,What is Sierra Leone?
Rome is a city in Italy,1,cities,train,What country is Rome located in?
Port Moresby is a name of a city.,1,cities,train,What is Port Moresby?
Bogotá is a name of a country.,0,cities,train,What is Bogotá?
Yerevan is a name of a country.,0,cities,train,What is Yerevan?
Cameroon is a name of a country.,1,cities,train,What is Cameroon?
Copenhagen is a city in Denmark,1,cities,train,What country is Copenhagen located in?
Tegucigalpa is a city in Russia,0,cities,train,What country is Tegucigalpa a city in?
Sierra Leone is a name of a city.,0,cities,train,What is Sierra Leone?
Muscat is a name of a country.,0,cities,train,What is Muscat?
Tarawa is a city in Kiribati,1,cities,train,What is Tarawa?
Banjul is a city in Norway,0,cities,train,What country is Banjul located in?
Phnom Penh is a name of a city.,1,cities,train,What is Phnom Penh?
Amman is a name of a country.,0,cities,train,What is Amman?
St. Peter Port is a name of a city.,1,cities,train,What is St. Peter Port?
Bhutan is a name of a city.,0,cities,train,What is Bhutan?
Tbilisi is a city in Georgia,1,cities,train,What country is Tbilisi located in?
Jakarta is a name of a city.,1,cities,train,What is Jakarta?
Tarawa is a name of a country.,0,cities,train,What is Tarawa?
Mexico is a name of a city.,0,cities,train,What is Mexico?
Guinea-Bissau is a name of a country.,1,cities,train,What is Guinea-Bissau?
Edinburgh of the Seven Seas is a city in South Korea,0,cities,train,What country is Edinburgh of the Seven Seas located in?
Wallis and Futuna is a name of a country.,1,cities,train,What is Wallis and Futuna?
Minsk is a name of a country.,0,cities,train,What is Minsk?
Bangkok is a name of a country.,0,cities,train,What is Bangkok?
Belgium is a name of a country.,1,cities,train,What is Belgium?
Majuro is a city in Mongolia,0,cities,train,What country is Majuro a city in?
Bucharest is a city in Romania,1,cities,train,What is Bucharest?
Grytviken is a city in South Georgia and the South Sandwich Islands,1,cities,train,What is Grytviken?
Kosovo is a name of a city.,0,cities,train,What is Kosovo?
Easter Island is a name of a country.,1,cities,train,What is Easter Island?
Edinburgh of the Seven Seas is a name of a country.,0,cities,train,What is Edinburgh of the Seven Seas?
Venezuela is a name of a city.,0,cities,train,What is Venezuela?
Akrotiri and Dhekelia is a name of a city.,0,cities,train,What is Akrotiri and Dhekelia?
Bandar Seri Begawan is a name of a country.,0,cities,train,What is Bandar Seri Begawan?
Libya is a name of a country.,1,cities,train,What is Libya?
Yaren is a name of a country.,0,cities,train,What is Yaren?
Liberia is a name of a country.,1,cities,train,What is Liberia?
